HIP,RAJ2000,DEJ2000,Dist,Teff,mag,Lum,Mass,Rad,CHZ,OHZ,plx
64032,13 07 24.1952,-12 40 05.4717,130.0,6082,9.4464,2.6,1.2,1.5,1.1,1.6,7.85
64035,13 07 24.9199,+11 08 06.8325,65.0,5200,8.5953,1.7,0.85,1.6,1.0,1.4,15.34
64037,13 07 27.3563,+25 23 10.8894,200.0,5900,10.6416,1.9,1.11,1.3,0.99,1.4,5.06
64039,13 07 28.2206,+30 39 38.8925,115.0,5846,10.5097,0.74,1.08,0.84,0.6,0.9,8.72
64041,13 07 30.3963,+03 56 14.0306,65.0,5900,8.2719,1.9,1.11,1.3,0.98,1.4,15.33
64044,13 07 33.5350,-52 54 19.5790,112.0,6195,8.9458,3.1,1.3,1.5,1.2,1.7,8.91
64048,13 07 35.1573,+34 24 06.0356,24.0,4522,9.4308,0.16,0.68,0.65,0.3,0.5,41.47
64049,13 07 35.8797,-61 44 11.7789,108.0,6573,9.3045,1.9,1.4,1.07,0.9,1.3,9.22
64051,13 07 36.5957,+01 28 28.2424,74.0,6130,7.5622,4.5,1.23,1.9,1.5,2.1,13.59
64055,13 07 39.0069,-30 26 05.6370,100.0,7182,7.7256,7.19,1.6,1.7,1.7,2.4,9.75
64061,13 07 43.6845,-50 16 07.8792,270.0,6444,10.0094,6.6,1.4,2.06,1.7,2.5,3.64
64062,13 07 43.7244,-54 25 02.6472,190.0,6340,9.3064,6.21,1.4,2.07,1.7,2.4,5.29
64063,13 07 44.2047,-64 00 42.4570,160.0,6315,9.1749,5.21,1.3,1.9,1.6,2.2,6.18
64064,13 07 46.8955,+09 11 25.9637,86.0,6435,8.7232,2.13,1.4,1.18,0.99,1.4,11.59
64067,13 07 49.4871,-55 30 47.0389,180.0,6734,9.1422,6.4,1.4,1.9,1.7,2.4,5.47
64073,13 07 52.3192,-42 46 55.9430,240.0,6326,9.7227,6.8,1.3,2.17,1.8,3.0,4.17
64076,13 07 53.4116,+62 58 59.1847,49.0,5743,8.6341,0.83,1.0,0.92,0.7,0.9,20.41
64080,13 07 54.7684,-76 10 57.6022,59.0,5487,9.997,0.38,0.94,0.68,0.5,0.6,17.08
64081,13 07 54.8694,+19 55 58.5966,130.0,6231,7.9686,9.7,1.3,2.7,2.1,3.0,7.53
64082,13 07 56.2272,+01 20 17.2504,160.0,5957,9.366,3.7,1.14,1.8,1.4,1.9,6.43
64084,13 07 57.2252,+19 40 52.5537,250.0,6299,10.0115,5.9,1.3,2.0,1.7,2.3,3.94
64088,13 08 01.8297,+49 06 42.4242,350.0,6837,10.5852,5.9,1.5,1.7,1.6,2.3,2.87
64091,13 08 02.8678,-77 18 35.3294,43.0,4815,8.9008,0.7,0.75,1.2,0.7,0.9,23.34
64092,13 08 03.1426,+26 56 48.6975,100.0,6092,8.4568,4.0,1.21,1.8,1.4,2.0,9.77
64095,13 08 07.2823,-23 35 18.9384,370.0,5889,8.4734,55.0,1.1,7.11,5.0,7.0,2.68
